year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,5,f,19.19,203,158.8,NA,-1.7558,NA
1996,5,m,18.05,203,158.8,NA,-1.7558,NA
1996,5,f,19.15,203,158.8,NA,-1.7558,NA
1996,5,f,19.36,203,158.8,NA,-1.7558,NA
1996,5,m,16.77,203,158.8,NA,-1.7558,NA
1996,5,m,18.7,203,158.8,NA,-1.7558,NA
1996,5,m,18.99,203,158.8,NA,-1.7558,NA
1996,5,m,17.68,203,158.8,NA,-1.7558,NA
1996,5,f,18.37,203,158.8,NA,-1.7558,NA
1996,5,f,19.26,203,158.8,NA,-1.7558,NA
1996,5,m,16.95,203,158.8,NA,-1.7558,NA
1996,5,f,19.85,203,158.8,NA,-1.7558,NA
1996,5,f,19.06,203,158.8,NA,-1.7558,NA
1996,5,m,17.3,203,158.8,NA,-1.7558,NA
1996,5,f,18.02,203,158.8,NA,-1.7558,NA
1996,5,f,18.99,203,158.8,NA,-1.7558,NA
1996,5,f,18.24,203,158.8,NA,-1.7558,NA
1996,5,m,18.1,210,158.8,NA,-1.7558,NA
1996,5,m,18.12,210,158.8,NA,-1.7558,NA
1996,5,m,17.19,210,158.8,NA,-1.7558,NA
1996,5,f,20.21,210,158.8,NA,-1.7558,NA
1996,5,m,18.51,210,158.8,NA,-1.7558,NA
1996,5,m,18.81,210,158.8,NA,-1.7558,NA
1996,5,m,18.81,210,158.8,NA,-1.7558,NA
1996,5,m,17.46,210,158.8,NA,-1.7558,NA
1996,5,m,18.21,210,158.8,NA,-1.7558,NA
1996,5,m,17.82,210,158.8,NA,-1.7558,NA
1996,5,f,18.91,210,158.8,NA,-1.7558,NA
1996,5,f,19.22,210,158.8,NA,-1.7558,NA
1996,5,m,17.94,210,158.8,NA,-1.7558,NA
1996,5,m,19.54,210,158.8,NA,-1.7558,NA
1996,5,m,18.71,210,158.8,NA,-1.7558,NA
1996,5,m,18.54,210,158.8,NA,-1.7558,NA
1996,5,m,19.65,210,158.8,NA,-1.7558,NA
1996,5,m,18.81,210,158.8,NA,-1.7558,NA
1996,5,f,18.65,210,158.8,NA,-1.7558,NA
1996,5,f,19.12,210,158.8,NA,-1.7558,NA
1996,5,m,18.35,210,158.8,NA,-1.7558,NA
1996,5,m,18.75,217,158.8,NA,-1.7558,NA
1996,5,m,18.75,217,158.8,NA,-1.7558,NA
1996,5,f,20.18,217,158.8,NA,-1.7558,NA
1996,5,m,16.81,217,158.8,NA,-1.7558,NA
1996,5,f,19.13,217,158.8,NA,-1.7558,NA
1996,5,f,18.41,217,158.8,NA,-1.7558,NA
1996,5,f,19.47,217,158.8,NA,-1.7558,NA
1996,5,f,18.7,217,158.8,NA,-1.7558,NA
1996,5,f,19.48,217,158.8,NA,-1.7558,NA
1996,5,f,18.27,217,158.8,NA,-1.7558,NA
1996,5,f,19.74,217,158.8,NA,-1.7558,NA
1996,5,m,17.86,217,158.8,NA,-1.7558,NA
1996,5,f,18.68,217,158.8,NA,-1.7558,NA
